Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Form_DLY (Extended)
(Note that non standard row charges apply. For details search the help on "fdly").
Station,Day(Local_Date),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET05(C),ET10(C),ET20(C),ET50(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ),SoilM(%)
4843,20090629:0000,-,5.7,145,0.2,-,-,-,-,7.1,-,-,-,-,-,1011.9,-,0.0,2.39,-
4843,20090630:0000,58,5.1,118,1.5,3.7,7.0,0.4,-0.7,7.5,4.6,4.9,-,-,-,1015.3,1010.7,0.0,3.25,-
4843,20090701:0000,73,5.1,162,0.1,4.6,7.9,1.3,-1.3,7.8,5.0,5.3,-,-,-,1015.9,1011.3,-,3.86,-
4843,20090702:0000,25,13.9,350,3.6,4.1,7.8,0.4,-2.7,7.7,4.0,4.5,-,-,-,1007.5,1002.9,0.0,2.63,-
4843,20090703:0000,53,9.3,278,4.3,4.3,6.9,1.6,0.7,7.6,4.7,5.1,-,-,-,994.8,990.2,-,3.04,-
4843,20090704:0000,214,9.8,395,0.0,6.3,9.1,3.4,1.7,8.5,5.4,5.3,-,-,-,996.8,992.2,-,4.30,-
4843,20090705:0000,89,9.8,320,0.8,5.8,7.8,3.8,1.6,8.0,5.7,5.9,-,-,-,998.9,994.4,0.0,2.54,-
4843,20090706:0000,53,8.2,188,0.0,4.7,8.0,1.3,-0.8,7.3,5.1,5.3,-,-,-,1002.4,997.8,-,3.90,-
4843,20090707:0000,225,6.7,102,4.2,4.7,8.7,0.6,-0.7,7.7,5.4,5.6,-,-,-,1011.0,1006.3,-,5.29,-
4843,20090708:0000,216,7.2,224,1.2,5.2,9.0,1.3,-1.0,7.1,4.9,4.9,-,-,-,1021.5,1016.9,-,7.29,-
4843,20090709:0000,219,5.7,138,0.0,4.7,11.0,-1.6,-3.1,7.0,4.8,5.1,-,-,-,1026.9,1022.2,-,7.06,-
4843,20090710:0000,275,4.6,122,0.0,5.7,10.5,0.9,-2.3,7.4,5.2,5.2,-,-,-,1026.1,1021.4,-,6.87,-
4843,20090711:0000,143,6.2,121,0.0,4.0,10.2,-2.2,-4.1,6.5,3.7,4.0,-,-,-,1021.7,1017.0,-,7.13,-
4843,20090712:0000,173,10.3,288,1.1,4.4,7.4,1.4,-0.4,7.5,4.5,4.7,-,-,-,1017.4,1012.7,-,5.79,-
4843,20090713:0000,74,7.2,184,0.0,2.1,6.6,-2.4,-4.3,6.2,2.8,3.6,-,-,-,1011.8,1007.2,-,6.79,-
4843,20090714:0000,56,4.6,153,0.0,1.6,7.6,-4.5,-5.7,5.7,1.3,2.6,-,-,-,1001.1,996.6,-,0.74,-
4843,20090715:0000,228,8.2,235,0.0,3.9,7.2,0.5,-2.1,7.5,3.9,3.9,-,-,-,1005.8,1001.2,0.0,3.36,-
4843,20090716:0000,36,5.1,141,0.0,5.5,6.8,4.1,3.5,8.3,5.3,5.3,-,-,-,1012.0,1007.4,0.0,2.28,-
4843,20090717:0000,191,6.7,215,0.0,6.5,10.6,2.3,-0.7,8.5,5.8,5.7,-,-,-,1006.5,1002.1,-,6.38,-
4843,20090718:0000,191,12.9,159,0.1,-,-,-,-,7.4,-,-,-,-,-,993.3,-,-,5.53,-
4843,20090719:0000,198,11.8,211,0.0,3.6,9.3,-2.1,-5.2,6.6,4.5,4.7,-,-,-,998.9,994.3,-,7.92,-
4843,20090720:0000,51,8.2,241,0.0,3.6,10.2,-3.0,-6.8,6.5,2.7,3.2,-,-,-,1012.1,1007.5,-,8.15,-
4843,20090721:0000,286,20.1,289,0.4,6.8,16.3,-2.7,-6.3,7.6,3.7,3.8,-,-,-,1001.9,997.4,-,4.12,-
4843,20090722:0000,275,12.4,260,0.1,7.1,15.7,-1.5,-5.6,6.6,4.1,4.1,-,-,-,999.5,995.0,-,8.11,-
4843,20090723:0000,321,18.0,337,0.0,10.3,14.9,5.6,2.4,8.9,6.8,6.0,-,-,-,990.8,986.4,-,3.70,-
4843,20090724:0000,206,16.5,450,7.0,5.5,9.6,1.3,-3.0,7.5,5.5,5.9,-,-,-,1007.9,1003.3,-,6.35,-
4843,20090725:0000,72,7.2,209,0.0,3.9,10.7,-2.9,-5.4,6.5,3.4,4.0,-,-,-,1019.6,1015.0,-,8.71,-
4843,20090726:0000,54,4.6,142,0.0,3.4,10.5,-3.7,-7.1,6.6,2.8,3.3,-,-,-,1019.4,1014.7,-,9.01,-
4843,20090727:0000,64,8.8,246,0.0,2.9,9.2,-3.5,-7.0,7.1,2.8,3.1,-,-,-,1017.2,1012.5,-,8.93,-
4843,20090728:0000,61,9.3,237,0.0,4.6,11.3,-2.1,-5.2,6.9,3.0,3.5,-,-,-,1007.4,1002.7,-,3.24,-
4843,20090729:0000,37,7.2,235,0.0,7.3,12.4,2.1,-2.8,8.2,4.7,4.4,-,-,-,1005.0,1000.5,-,8.30,-
4843,20090730:0000,312,8.8,227,0.0,8.7,14.2,3.1,-1.1,7.9,5.5,5.1,-,-,-,1002.9,998.3,-,8.35,-
4843,20090731:0000,292,21.6,385,0.0,10.9,19.1,2.6,-0.7,7.5,6.2,5.6,-,-,-,998.9,994.4,-,8.06,-
4843,20090801:0000,-,6.2,150,0.0,9.0,16.2,1.8,-2.6,7.3,6.0,5.6,-,-,-,1003.4,997.8,-,6.77,-
4843,20090802:0000,-,18.5,306,0.0,-,-,-,-,7.0,-,-,-,-,-,1003.2,-,-,5.19,-
4843,20090803:0000,56,9.3,263,0.0,-,-,-,-,7.2,6.4,5.1,-,-,-,1010.9,1007.7,-,7.85,-
4843,20090804:0000,212,18.5,381,0.0,9.9,16.4,3.4,-0.1,8.1,7.0,6.3,-,-,-,1005.7,1001.3,-,7.09,-
4843,20090805:0000,187,16.0,253,0.0,7.8,16.1,-0.5,-4.7,7.4,5.1,5.3,-,-,-,1016.2,1011.6,-,6.30,-
4843,20090806:0000,67,7.7,225,0.0,3.6,10.9,-3.8,-6.6,7.7,4.1,4.6,-,-,-,1027.1,1022.4,-,9.22,-
