Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

UserName is = raazesh.sainudiin
Total number of rows output = 20904
Number of rows remaining in subscription = 1968948
Copyright NIWA 2011 Subject to NIWA's Terms and Conditions
See: http://cliflo.niwa.co.nz/pls/niwp/doc/terms.html
Comments to: cliflo@niwa.co.nz
// Raaz's Modification of the Text File
// With vi I removed time stamps ":0800" and ":0900" 
// of the daily measurements that interrupted Matlab simple dlmread
// by substitution command ":%s/:0900//g" and ":%s/:0800//g"
// Replaced missing data character '-' with 'NaN' by ":%s/-/NaN/g" in vi
// Replaced 'NaN[0-9]' by '-[0-9]' to leave minus signs alone 
// Removed the last column of "D" for "by definition i.e. grid points"
// using ':%s/,D//g'
// also moved this block from the bottom of file to here.  
// Raaz, 
// Sun 27 Mar 2011 19:26:37 NZDT

Max_min: Daily
Stationate(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
4843,19540101,NaN,NaN,13.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540102,22.2,24,13.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540103,25.8,24,10.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540104,25.9,24,4.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540105,18.7,24,13.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540106,23.7,24,16.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540107,29.4,24,7.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540108,17.3,24,7.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540109,19.2,24,12.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540110,19.6,24,13.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540111,27.6,24,10.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540112,15.8,24,8.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540113,18.6,24,6.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540114,24.4,24,8.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540115,28.1,24,9.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540116,14.8,24,6.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540117,20.3,24,8.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540118,22.2,24,11.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540119,25.6,24,10.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540120,22.2,24,12.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540121,22.4,24,12.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540122,23.1,24,11.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540123,22.6,24,11.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540124,18.1,24,9.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540125,20.6,24,8.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540126,23.6,24,10.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540127,16.7,24,6.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540128,21.1,24,8.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540129,25.8,24,12.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540130,23.3,24,13.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540131,17.8,24,12.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540201,18.2,24,13.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540202,27.3,24,17.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540203,34.0,24,15.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540204,22.7,24,14.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540205,20.5,24,11.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540206,19.5,24,9.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540207,23.3,24,13.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540208,23.4,24,9.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540209,21.2,24,11.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540210,21.6,24,9.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540211,30.7,24,13.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540212,27.4,24,12.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540213,21.3,24,13.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540214,27.5,24,17.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540215,21.6,24,12.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540216,15.8,24,12.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540217,16.9,24,11.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540218,20.7,24,11.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540219,20.6,24,12.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540220,31.2,24,14.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540221,19.4,24,9.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540222,20.2,24,14.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540223,19.0,24,15.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540224,20.7,24,14.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540225,22.3,24,15.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540226,23.9,24,14.2,24,NaN,NaN,NaN,NaN,NaN
